CP1 MT FUNNY|false|1065
871.883056640625,368.71954345703125,-697.4505615234375|-0.0438191294670105,3.974573914433677e-08,0.9990394711494446|2.3871900012295555e-08,1,-3.873689990996354e-08|Freefall
871.859619140625,369.3125,-696.9178466796875|-0.041719019412994385,5.5083908989672636e-08,0.9991293549537659|3.2487363910149725e-08,1,-5.377538414563787e-08|Freefall
871.8373413085938,369.8509521484375,-696.3848876953125|-0.041529811918735504,7.108084076890009e-08,0.999137282371521|4.1202699918585495e-08,1,-6.942959629441248e-08|Freefall
871.8095703125,370.4473571777344,-695.7186889648438|-0.0414498969912529,9.109997733958153e-08,0.9991405606269836|5.210095821439609e-08,1,-8.901690051743572e-08|Freefall
871.787353515625,370.8631896972656,-695.1857299804688|-0.0414397194981575,1.0709991471458125e-07,0.9991409778594971|6.081530301571547e-08,1,-1.0466965960631569e-07|Freefall
871.76513671875,371.2245178222656,-694.6527709960938|-0.04143960773944855,1.2308616703649022e-07,0.9991410374641418|6.952314635100265e-08,1,-1.2030849916300212e-07|Freefall
871.742919921875,371.5313415527344,-694.1198120117188|-0.041438788175582886,1.3905876983244525e-07,0.9991410374641418|7.822346503871813e-08,1,-1.359340444651025e-07|Freefall
871.720703125,371.7836608886719,-693.5868530273438|-0.041439350694417953,1.5501773020787368e-07,0.9991410374641418|8.69165290851015e-08,1,-1.5154613208778756e-07|Freefall
871.7040405273438,371.9371337890625,-693.1871337890625|-0.041441410779953,1.3605320248188946e-07,0.9991409182548523|7.615667385607594e-08,1,-1.3301144008437404e-07|Freefall
871.6818237304688,372.0940856933594,-692.6541748046875|-0.039460811764001846,9.046672744261741e-08,0.99922114610672|5.0024571152107455e-08,1,-8.856169841919836e-08|Freefall
871.6607055664062,372.196533203125,-692.1212158203125|-0.03538183867931366,4.684589782755211e-08,0.9993738532066345|2.38577317901445e-08,1,-4.603058911811786e-08|Freefall
871.6417236328125,372.2444763183594,-691.5882568359375|-0.031106874346733093,7.466423923574439e-09,0.9995160698890686|-1.9825390218386474e-09,1,-7.531738788202347e-09|Freefall
871.62109375,372.227783203125,-690.9219360351562|-0.019253788515925407,-1.8768536946822678e-08,0.9998146295547485|-3.364444722819826e-08,1,1.8124113765338734e-08|Freefall
871.6130981445312,372.1768798828125,-690.5220336914062|-0.0056515345349907875,-6.652817852170756e-09,0.9999840259552002|-5.1939306189296985e-08,1,6.359382798137858e-09|Freefall
871.6097412109375,372.06134033203125,-689.98876953125|0.0010446575470268726,3.5864736958046706e-08,0.999999463558197|-7.6548744232241e-08,1,-3.578479024213266e-08|Freefall
871.6103515625,371.89129638671875,-689.455322265625|0.00782486516982317,9.224595487467013e-08,0.9999693632125854|-1.0150149165610856e-07,1,-9.145451684844375e-08|Freefall
871.614501953125,371.666748046875,-688.922119140625|0.0104348910972476,9.845354043136467e-08,0.9999455809593201|-8.087751979246605e-08,1,-9.76149081566291e-08|Freefall
871.6201782226562,371.3876953125,-688.388916015625|0.01277624350041151,1.0660296823061799e-07,0.9999184012413025|-6.026989751717338e-08,1,-1.0584158616211425e-07|Freefall
871.626953125,371.05413818359375,-687.855712890625|0.01695774495601654,1.1685288114904324e-07,0.9998562335968018|-3.9947323671185586e-08,1,-1.1619217588076935e-07|Freefall
871.635986328125,370.6661071777344,-687.322509765625|0.01728314347565174,1.294341842594804e-07,0.9998506307601929|-1.9243170612526228e-08,1,-1.2912089175642905e-07|Freefall
871.645263671875,370.2235412597656,-686.789306640625|0.017433594912290573,1.4214221266684035e-07,0.9998480081558228|1.4769518941193382e-09,1,-1.4218957744560612e-07|Freefall
871.6568603515625,369.5937194824219,-686.122802734375|0.017449749633669853,1.5801428787654004e-07,0.9998477697372437|2.7377046407650596e-08,1,-1.585161442108074e-07|Freefall
871.663818359375,369.1749572753906,-685.722900390625|0.01745288446545601,1.6752935039221484e-07,0.9998477101325989|4.290486899094503e-08,1,-1.683037993416292e-07|Freefall
871.673095703125,368.56890869140625,-685.189697265625|0.017452972009778023,1.3180098790144257e-07,0.9998477101325989|4.4609986815657976e-08,1,-1.3259976583412936e-07|Freefall
871.6846923828125,367.7347106933594,-684.523193359375|0.017453046515583992,6.702519073087387e-08,0.9998477101325989|3.883364030343728e-08,1,-6.771326610532924e-08|Freefall
871.691650390625,367.1933288574219,-684.123291015625|0.017451176419854164,2.8192879142352467e-08,0.9998477101325989|3.5370941731116545e-08,1,-2.881453298186898e-08|Freefall
871.700927734375,366.42376708984375,-683.590087890625|0.017451081424951553,-2.354481232202943e-08,0.9998477101325989|3.07573060354116e-08,1,2.3011567762409868e-08|Freefall
871.710205078125,365.5997314453125,-683.056884765625|0.01745123788714409,-7.523829026467865e-08,0.9998477101325989|2.6147613851890128e-08,1,7.479337682525511e-08|Freefall
871.719482421875,364.72119140625,-682.523681640625|0.017451155930757523,-1.268875990945162e-07,0.9998477101325989|2.1541849193340568e-08,1,1.2653093506287405e-07|Freefall
871.728759765625,363.78814697265625,-681.990478515625|0.017451073974370956,-1.2596778731222003e-07,0.9998477101325989|1.3069212378979955e-08,1,1.2575885932619713e-07|Freefall
871.7403564453125,363.6462097167969,-681.3302001953125|0.017451127991080284,-1.0294539265487401e-07,0.9998477101325989|8.766676828919628e-10,1,1.0294576924252397e-07|Landed
871.747314453125,363.64520263671875,-680.9345092773438|0.017451131716370583,-8.914376081747832e-08,0.9998477101325989|-6.432605115236356e-09,1,8.926961214683615e-08|Landed
871.756591796875,363.6922912597656,-680.4069213867188|0.017451131716370583,-7.075534114164839e-08,0.9998477101325989|-1.6171012973131837e-08,1,7.104836896587585e-08|Running
871.765869140625,363.7691650390625,-679.8793334960938|0.017451131716370583,-5.2382638671133464e-08,0.9998477101325989|-2.590109637878868e-08,1,5.284269022354238e-08|Running
871.775146484375,363.8466796875,-679.3517456054688|0.017451131716370583,-3.40256285369378e-08,0.9998477101325989|-3.562285755265293e-08,1,3.465256526169469e-08|Running
871.784423828125,363.9241943359375,-678.8241577148438|0.017451131716370583,-1.5684307186347723e-08,0.9998477101325989|-4.533630715286563e-08,1,1.6477986974905434e-08|Running
871.793701171875,364.001708984375,-678.2965698242188|0.017451131716370583,2.641342922160561e-09,0.9998477101325989|-5.504144695578361e-08,1,-1.6810633995945068e-09|Running
871.802978515625,364.0792236328125,-677.7689819335938|0.017451131716370583,2.0951334889218742e-08,0.9998477101325989|-6.473828761954792e-08,1,-1.982459707505768e-08|Running
871.812255859375,364.15673828125,-677.2413940429688|0.017451131716370583,3.924568048319088e-08,0.9998477101325989|-7.44268362495859e-08,1,-3.795262770722729e-08|Running
871.821533203125,364.2342529296875,-676.7138061523438|0.017451131716370583,5.752439591333314e-08,0.9998477101325989|-8.410710705675228e-08,1,-5.6065168507757335e-08|Running
871.830810546875,364.311767578125,-676.1862182617188|0.017451131716370583,7.578749716685707e-08,0.9998477101325989|-9.37790929356197e-08,1,-7.41622372402162e-08|Running
871.840087890625,364.3892822265625,-675.6586303710938|0.017451131716370583,6.959700726838491e-08,0.9998477101325989|-7.74639090650453e-08,1,-6.825556653211606e-08|Running
